,ATSC8v,ATSC0s,maxHBint8,nHBint6,RDF70v,AATSC4v,TDB9p,RDF65p,nBondsD2,JGI8,SCH-7,MLFER_L,SpMin5_Bhv,VR2_Dzi,RPCG,SpMin2_Bhi,MAXDP,nHBint2,ATSC7c,MATS3s,E2m,ETA_BetaP_ns_d,JGI6,TDB2e,TDB2s,E3i,ATSC7v,minwHBa,VR3_Dzm,ATSC8s,SpMax1_Bhi,JGI3,AATSC1i,MATS3e,AATSC1p,Dp,MIC0,mindO,E2e,BCUTp-1l,SHBint8,SHBint4,BCUTw-1l,AATSC7m,SdssC,TDB7r,VE3_Dzp,GATS1s,nT11Ring,AATSC0v,MLFER_S,nRotB,minaasC,MOMI-Y,maxsssN
424,0.0,43.65432098765433,0.0,0.0,1.9158455213785166e-270,-1.85733297337206,0.0,3.2163605804586e-173,1.0,0.0,0.0,3.908,0.2709139018929371,2.3005473332148503,0.3073828193555136,0.3008996534793958,2.2291666666666665,4.0,0.0,-0.0241515837104072,0.3352988291666156,0.0,0.0,19.762701033195665,18.68795539540208,0.6542661820210735,0.0,-0.9398148148148148,1.2242015468308516,0.0,3.518774991811412,0.0,-0.5560731048745895,-0.1045345236932982,0.0106990944697777,1.3371218688700883,19.215798869379167,9.229166666666666,0.4770011287760122,3.436609398896728,0.0,0.0,11.999998528631076,0.0,-0.9398148148148148,0.0,-0.6105797716478366,1.0546874999999998,0.0,30.78378505519828,0.967,1.0,0.0,137.27475805738288,0.0
425,280.0616730220438,33.85200139187249,0.0,1.0,12.775643682466873,-2.2287686869393,9.027517695520554,8.337744199638033,0.0,0.0074386015429099,0.2974095083960289,13.093000000000002,1.4624447877686206,10.817090903353137,0.1212574491896172,1.7461134539729528,2.789896630139772,0.0,0.0168533821911914,0.0410068016046126,0.4892977911992168,0.01923,0.0177725947521865,17.269709773607584,5.511520749370363,0.4266161108474546,-25.991629238947624,1.3708369983158044,15.031177175140398,-4.397121959599332,3.9745294797921855,0.0388513513513513,-0.2897720247958491,0.0346173552153268,-0.0135148925206778,1.1497579504855784,15.981215974057989,0.0,0.4021145734926248,3.773219515801385,0.0,0.0,11.996146223892117,5.323338050971677,0.0,1.62782903501838,-0.5191279604486891,0.9642155380489752,0.0,52.7039573198185,2.1590000000000003,8.0,1.3708369983158044,6122.85978017248,2.60172658415218
426,726.7775983213734,160.76264075779682,0.0,0.0,1.5655640897931915,-5.822622296915825,9.892829484408088,7.460513442774906,2.0,0.0172839506172839,0.0,13.061000000000002,1.3342980610418589,6.491428903978808,0.1327748674838332,1.5635678078226225,4.260781639446412,8.0,-0.271129842436727,0.1273471717909642,0.4590314592911074,0.0,0.0150375939849624,17.829954502219877,12.515635448981952,0.4324195094345974,-1044.6043277692409,0.0,9.306163654078995,-20.187100151560344,3.8618306267548,0.0732758620689655,-0.2389948204733521,0.1329550621967431,-0.0578883662957948,1.062159949881346,21.36147855294216,11.26078163944641,0.4292050031354043,3.0866220703124987,0.0,58.519115793662166,11.998999999999986,-19.716805336416424,0.0,1.5846226432104142,-1.105597203709029,1.1757314851148593,0.0,46.96290543439423,3.902,9.0,0.0,4043.328817331984,1.7120756172839506
427,-659.8055951227861,179.25595238095232,4.61197731640694,5.0,8.478253743925148,-2.6512753841086454,8.585755438328984,15.786377937726826,3.0,0.0154614932392709,0.8012742530318986,18.345,1.481881150116907,13.65292487025764,0.0587661264908425,1.8222140108383709,6.3300703724569605,0.0,-0.0882144746683746,-0.0398610080753387,0.3977876521381669,0.02778,0.0230399025281754,18.1410708211751,8.124301138044553,0.3721941358549875,-1215.69808673992,-0.6577718207985164,22.08076925716192,2.630102040816312,4.075081730162604,0.0600328947368421,0.2435184888600536,-0.089687096621458,0.0346381300608211,0.977005927025764,14.59472881154951,12.425190710964522,0.4964632769841611,4.954063792589617,14.255610267808644,13.991713699296543,11.890000000000006,-4.9268098316646425,-1.9024019241407404,1.949106027673633,-0.8838358462983599,0.8375115952695433,0.0,47.80621277853878,3.313,3.0,-0.5938127257075665,8719.821830774004,0.0
428,329.331808986658,96.25925925925928,0.0,0.0,3.412380453573263,-3.022003349875543,9.118477127132614,13.11181421901897,4.0,0.0097631645250692,0.1896785312429497,12.209,1.4576105319377684,7.904099458373842,0.1019465510935584,1.6302232580898446,5.455064227125811,0.0,0.0358477202853522,0.1649968340336836,0.1920589399767198,0.0,0.0139205155746509,16.762871872337296,5.909479293895648,0.3727429998491756,126.93241352370624,-0.256635803099305,12.584249876486137,-8.366255144032909,3.9185638162096135,0.0590277777777777,-0.0966543263492967,0.2719312285575989,-0.0146260536131684,1.0664276950595457,11.921765107022376,12.251217855243723,0.3919860046058146,3.9472260664762375,0.0,0.0,11.996157121205393,0.7095312303888612,0.573285820081733,1.510859573029229,-2.1829256112060174,0.6500096190842631,0.0,49.421241003224985,1.604,12.0,0.0,9659.363427362729,0.0
429,480.6337546957068,50.14705882352935,0.0,2.0,9.436714519198064,-5.8853866203491965,8.74032802911716,9.07093879008815,0.0,0.0127903013057074,0.3106527269458531,11.913000000000002,1.2886891456539278,17.104334923577202,0.1416053756043435,1.8414187565611648,4.60997905491908,0.0,0.007869432654217,0.050741700023546,0.2926329664273515,0.02083,0.0144326530612244,16.771292250008596,5.628631933149357,0.5063475334475337,-251.07864584931144,0.2364160609091372,13.717503847357694,-5.77287581699348,3.9320586725853217,0.0410714285714285,-0.0149354970607256,-0.0034821673799034,0.0141199529544794,1.111382418242499,11.303059834522806,0.0,0.4155801336213453,4.797017363277978,0.0,0.0,11.850000000000009,-0.458931141979263,0.0,1.4526891770927572,-10.774475842584824,1.012744609823126,0.0,52.608767730441045,1.813,5.0,0.2364160609091372,4460.638719240916,2.3879138321995463
430,-300.10713144760234,8.479012345679012,0.0,0.0,6.003708729394746,1.1715754491721253,7.785162672925296,8.676763590243386,0.0,0.0121308444012525,0.2140761750626955,9.915,1.455594543806111,7.737778388815526,0.0547167832994865,1.8346493346872208,0.5150462962962963,0.0,0.0676079192266438,-0.0882398039387489,0.2788440287542737,0.0,0.0142028985507246,16.548928243914013,5.051630704439848,0.3689703274747857,-387.1663175001022,1.3900056689342406,10.650155750557948,-1.3702194787379989,4.0124698625389845,0.0392857142857142,-0.3054689886022939,-0.0396085943897935,-0.013821591453364,0.9992060571724652,9.58556054562327,0.0,0.3902956692845454,5.712074218749999,0.0,0.0,11.85,-0.4415650257395943,0.0,1.571370738186576,-0.9386414548418314,0.9783578483004746,2.0,53.54234057679675,1.254,4.0,1.3900056689342406,2209.798581262468,2.5150462962962963
431,357.3541103887507,99.44859182098772,0.0,6.0,2.154670720967733,-6.20256459807961,7.304703262735439,7.534552581229669,3.0,0.0184376359971598,0.6435441021644753,11.656,1.333836996570397,11.412189926559854,0.1303394766788297,1.813511011244187,5.587878926261862,3.0,-0.0230365363466665,-0.0393350970169781,0.3673469187051701,0.02083,0.013185521122029,17.777722420383967,10.034153888672307,0.3003119720991278,-57.3952759786159,-0.3299234343943333,12.771403028728672,0.9921034033969612,4.020259097071425,0.0660612535612535,0.1653094765738485,-0.1094108345634816,-0.0056344610744836,0.9100110519884732,24.19214215856424,11.798748338101692,0.5428951423329498,5.640514560770518,0.0,0.1939159258714476,11.998999999999988,-1.0889095771428632,-0.3299234343943333,1.4598170340983276,-3.526439798303125,0.7774443207529901,0.0,50.43114757962263,2.592,4.0,0.1838324707454999,1999.1701657485107,1.835951278659612
432,-110.73099988523116,46.10490543735225,0.0,3.0,9.660249687564134,-0.3662476795499837,9.085305244395448,12.26067566140684,1.0,0.0125985064807816,0.7737773776815248,12.72,1.456450311718225,8.215343798050199,0.1593423954931371,1.8328092508636384,5.5788890463592855,1.0,-0.1297059515532249,-0.039784176927169,0.1975823151267041,0.0,0.0184353741496598,16.42364246280478,5.927795021520972,0.38689560949664,721.9879244172803,-0.2505120937263794,12.120573486725997,5.8961539912479255,4.13686350794491,0.0782520325203251,0.1770483900387313,-0.0740161492859922,0.0217578369561633,0.9478287080024514,11.397731372702678,12.578889046359286,0.3428320307103108,5.555967408565537,0.0,0.0,11.849999999999998,3.214949221503693,-0.2505120937263794,1.5052258737602118,-0.5222181157215454,0.7536667106609596,0.0,52.77012409202322,2.164,6.0,1.0539323507180651,3128.1006521016234,0.0
433,-519.6776448529496,14.598039215686269,0.0,0.0,3.389189306273088,-4.682888109638707,8.222789481522538,3.432843521234106,1.0,0.0055167128579827,0.4197694833423951,8.702,1.14180598180979,6.714531739346779,0.0944428314952848,1.5695052970941878,2.3833333333333333,0.0,0.076247648075676,0.0233169076574936,0.2182092420400106,0.02941,0.0078101716877227,17.567727712714518,5.936780253819769,0.3175068245825663,-235.74513649837965,1.0015495086923658,8.072889568417876,-3.263936947327955,3.9817948457750094,0.0227272727272727,-0.1171287595900774,0.0651762917983989,-0.0115930517483002,0.9874027735885236,12.770250380091232,0.0,0.4400560141077681,6.291294470466917,0.0,1.8641700759007305,11.900000000000002,-1.5720628277567394,0.0,1.9044189913108736,-1.6505861908014492,0.8974283635549591,0.0,51.41776066708939,1.2970000000000002,3.0,1.0015495086923658,2391.1060201571795,0.0
